date,datetime,open,high,low,close,volume,symbol
2019-09-19,2019-09-19T09:01:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:02:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:03:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:04:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:05:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:06:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:07:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:08:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:09:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:10:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:11:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:12:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:13:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:14:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:15:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:16:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:17:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:18:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:19:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:20:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:21:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:22:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:23:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:24:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:25:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:26:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:27:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:28:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:29:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:30:00+0900,1445,1445,1445,1445,0,224020
2019-09-19,2019-09-19T09:31:00+0900,1445,1445,1445,1445,0,224020
