date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,19850,19850,19850,19850,178,950180
2019-09-20,2019-09-20T09:02:00+0900,19850,19850,19850,19850,0,950180
2019-09-20,2019-09-20T09:03:00+0900,19950,19950,19950,19950,3,950180
2019-09-20,2019-09-20T09:04:00+0900,19850,19850,19850,19850,12,950180
2019-09-20,2019-09-20T09:05:00+0900,19850,19850,19850,19850,500,950180
2019-09-20,2019-09-20T09:06:00+0900,19850,19850,19850,19850,96,950180
2019-09-20,2019-09-20T09:07:00+0900,19850,19850,19850,19850,150,950180
2019-09-20,2019-09-20T09:08:00+0900,19850,20000,19850,20000,228,950180
2019-09-20,2019-09-20T09:09:00+0900,20000,20000,20000,20000,1,950180
2019-09-20,2019-09-20T09:10:00+0900,19950,19950,19950,19950,508,950180
2019-09-20,2019-09-20T09:11:00+0900,19950,19950,19950,19950,21,950180
2019-09-20,2019-09-20T09:12:00+0900,19950,19950,19950,19950,0,950180
2019-09-20,2019-09-20T09:13:00+0900,19950,19950,19950,19950,30,950180
2019-09-20,2019-09-20T09:14:00+0900,19950,19950,19950,19950,0,950180
2019-09-20,2019-09-20T09:15:00+0900,19950,19950,19950,19950,3,950180
2019-09-20,2019-09-20T09:16:00+0900,20000,20050,20000,20000,980,950180
2019-09-20,2019-09-20T09:17:00+0900,20000,20000,20000,20000,224,950180
2019-09-20,2019-09-20T09:18:00+0900,20000,20000,20000,20000,110,950180
2019-09-20,2019-09-20T09:19:00+0900,20000,20000,20000,20000,116,950180
2019-09-20,2019-09-20T09:20:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T09:21:00+0900,20000,20000,20000,20000,236,950180
2019-09-20,2019-09-20T09:22:00+0900,20050,20050,20050,20050,204,950180
2019-09-20,2019-09-20T09:23:00+0900,20050,20050,20050,20050,200,950180
2019-09-20,2019-09-20T09:24:00+0900,20050,20050,20050,20050,25,950180
2019-09-20,2019-09-20T09:25:00+0900,20050,20050,20050,20050,100,950180
2019-09-20,2019-09-20T09:26:00+0900,20050,20050,20050,20050,0,950180
2019-09-20,2019-09-20T09:27:00+0900,20050,20050,20050,20050,0,950180
2019-09-20,2019-09-20T09:28:00+0900,20050,20050,20050,20050,0,950180
2019-09-20,2019-09-20T09:29:00+0900,20050,20050,20000,20000,131,950180
2019-09-20,2019-09-20T09:30:00+0900,20050,20050,20000,20000,0,950180
2019-09-20,2019-09-20T09:31:00+0900,20050,20050,20000,20000,0,950180
2019-09-20,2019-09-20T09:32:00+0900,20050,20050,20000,20000,0,950180
2019-09-20,2019-09-20T09:33:00+0900,20050,20050,20000,20000,0,950180
2019-09-20,2019-09-20T09:34:00+0900,20000,20000,20000,20000,9,950180
2019-09-20,2019-09-20T09:35:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T09:36:00+0900,20000,20000,20000,20000,183,950180
2019-09-20,2019-09-20T09:37:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T09:38:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T09:39:00+0900,20000,20000,20000,20000,630,950180
2019-09-20,2019-09-20T09:40:00+0900,20000,20000,19950,19950,2286,950180
2019-09-20,2019-09-20T09:41:00+0900,20000,20000,20000,20000,1,950180
2019-09-20,2019-09-20T09:42:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T09:43:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T09:44:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T09:45:00+0900,19950,19950,19900,19900,113,950180
2019-09-20,2019-09-20T09:46:00+0900,19900,19900,19900,19900,102,950180
2019-09-20,2019-09-20T09:47:00+0900,19900,19900,19900,19900,0,950180
2019-09-20,2019-09-20T09:48:00+0900,19900,19900,19900,19900,0,950180
2019-09-20,2019-09-20T09:49:00+0900,19900,19900,19900,19900,31,950180
2019-09-20,2019-09-20T09:50:00+0900,19900,19900,19900,19900,0,950180
2019-09-20,2019-09-20T09:51:00+0900,19900,19900,19900,19900,79,950180
2019-09-20,2019-09-20T09:52:00+0900,19900,19900,19900,19900,0,950180
2019-09-20,2019-09-20T09:53:00+0900,19900,19900,19900,19900,50,950180
2019-09-20,2019-09-20T09:54:00+0900,19900,19900,19900,19900,90,950180
2019-09-20,2019-09-20T09:55:00+0900,19900,19900,19900,19900,0,950180
2019-09-20,2019-09-20T09:56:00+0900,19900,19900,19900,19900,0,950180
2019-09-20,2019-09-20T09:57:00+0900,19900,19900,19900,19900,0,950180
2019-09-20,2019-09-20T09:58:00+0900,20000,20000,20000,20000,50,950180
2019-09-20,2019-09-20T09:59:00+0900,20000,20000,20000,20000,0,950180
2019-09-20,2019-09-20T10:00:00+0900,19950,19950,19950,19950,97,950180
2019-09-20,2019-09-20T10:01:00+0900,19900,19900,19850,19850,2000,950180
2019-09-20,2019-09-20T10:02:00+0900,19800,19800,19800,19800,51,950180
2019-09-20,2019-09-20T10:03:00+0900,19800,19800,19800,19800,1,950180
2019-09-20,2019-09-20T10:04:00+0900,19800,19800,19800,19800,510,950180
2019-09-20,2019-09-20T10:05:00+0900,19800,19800,19800,19800,0,950180
2019-09-20,2019-09-20T10:06:00+0900,19800,19800,19800,19800,0,950180
2019-09-20,2019-09-20T10:07:00+0900,19800,19800,19800,19800,0,950180
2019-09-20,2019-09-20T10:08:00+0900,19850,19950,19850,19950,346,950180
2019-09-20,2019-09-20T10:09:00+0900,19950,19950,19950,19950,20,950180
2019-09-20,2019-09-20T10:10:00+0900,19950,19950,19950,19950,0,950180
2019-09-20,2019-09-20T10:11:00+0900,19950,19950,19950,19950,0,950180
2019-09-20,2019-09-20T10:12:00+0900,19950,19950,19850,19850,16,950180
2019-09-20,2019-09-20T10:13:00+0900,19950,19950,19950,19950,20,950180
2019-09-20,2019-09-20T10:14:00+0900,19850,19950,19850,19950,59,950180
2019-09-20,2019-09-20T10:15:00+0900,19850,19950,19850,19950,0,950180
2019-09-20,2019-09-20T10:16:00+0900,19950,19950,19950,19950,10,950180
2019-09-20,2019-09-20T10:17:00+0900,19950,19950,19850,19850,1845,950180
2019-09-20,2019-09-20T10:18:00+0900,19850,19850,19850,19850,36,950180
2019-09-20,2019-09-20T10:19:00+0900,19850,19850,19850,19850,0,950180
2019-09-20,2019-09-20T10:20:00+0900,19850,19850,19850,19850,10,950180
2019-09-20,2019-09-20T10:21:00+0900,19850,19850,19800,19800,637,950180
2019-09-20,2019-09-20T10:22:00+0900,19800,19800,19800,19800,3,950180
2019-09-20,2019-09-20T10:23:00+0900,19800,19800,19800,19800,55,950180
2019-09-20,2019-09-20T10:24:00+0900,19800,19800,19800,19800,2,950180
2019-09-20,2019-09-20T10:25:00+0900,19800,19800,19800,19800,20,950180
2019-09-20,2019-09-20T10:26:00+0900,19750,19750,19700,19700,643,950180
2019-09-20,2019-09-20T10:27:00+0900,19700,19700,19700,19700,17,950180
2019-09-20,2019-09-20T10:28:00+0900,19700,19750,19700,19750,13,950180
2019-09-20,2019-09-20T10:29:00+0900,19700,19700,19700,19700,32,950180
2019-09-20,2019-09-20T10:30:00+0900,19700,19700,19700,19700,50,950180
2019-09-20,2019-09-20T10:31:00+0900,19700,19700,19650,19650,1000,950180
2019-09-20,2019-09-20T10:32:00+0900,19700,19700,19700,19700,13,950180
2019-09-20,2019-09-20T10:33:00+0900,19700,19700,19700,19700,0,950180
2019-09-20,2019-09-20T10:34:00+0900,19700,19700,19650,19650,715,950180
2019-09-20,2019-09-20T10:35:00+0900,19600,19650,19600,19650,32,950180
2019-09-20,2019-09-20T10:36:00+0900,19600,19600,19600,19600,1228,950180
2019-09-20,2019-09-20T10:37:00+0900,19600,19600,19600,19600,35,950180
2019-09-20,2019-09-20T10:38:00+0900,19550,19550,19500,19500,2306,950180
2019-09-20,2019-09-20T10:39:00+0900,19500,19500,19450,19450,1117,950180
2019-09-20,2019-09-20T10:40:00+0900,19550,19550,19550,19550,1,950180
2019-09-20,2019-09-20T10:41:00+0900,19550,19550,19550,19550,414,950180
2019-09-20,2019-09-20T10:42:00+0900,19500,19500,19450,19450,653,950180
2019-09-20,2019-09-20T10:43:00+0900,19600,19600,19600,19600,7,950180
2019-09-20,2019-09-20T10:44:00+0900,19600,19600,19600,19600,25,950180
2019-09-20,2019-09-20T10:45:00+0900,19600,19600,19600,19600,65,950180
2019-09-20,2019-09-20T10:46:00+0900,19600,19650,19600,19650,5,950180
2019-09-20,2019-09-20T10:47:00+0900,19650,19650,19650,19650,11,950180
2019-09-20,2019-09-20T10:48:00+0900,19650,19650,19650,19650,2,950180
2019-09-20,2019-09-20T10:49:00+0900,19650,19750,19650,19750,281,950180
2019-09-20,2019-09-20T10:50:00+0900,19750,19750,19500,19500,1002,950180
2019-09-20,2019-09-20T10:51:00+0900,19550,19550,19450,19450,500,950180
2019-09-20,2019-09-20T10:52:00+0900,19500,19500,19500,19500,7,950180
2019-09-20,2019-09-20T10:53:00+0900,19500,19650,19500,19650,109,950180
2019-09-20,2019-09-20T10:54:00+0900,19500,19650,19500,19650,0,950180
2019-09-20,2019-09-20T10:55:00+0900,19650,19650,19650,19650,23,950180
2019-09-20,2019-09-20T10:56:00+0900,19650,19650,19650,19650,0,950180
2019-09-20,2019-09-20T10:57:00+0900,19650,19650,19650,19650,12,950180
2019-09-20,2019-09-20T10:58:00+0900,19650,19650,19650,19650,0,950180
2019-09-20,2019-09-20T10:59:00+0900,19650,19650,19650,19650,0,950180
2019-09-20,2019-09-20T11:00:00+0900,19650,19650,19650,19650,11,950180
2019-09-20,2019-09-20T11:01:00+0900,19650,19650,19500,19500,1059,950180
2019-09-20,2019-09-20T11:02:00+0900,19650,19650,19650,19650,27,950180
2019-09-20,2019-09-20T11:03:00+0900,19650,19650,19650,19650,0,950180
2019-09-20,2019-09-20T11:04:00+0900,19650,19650,19650,19650,11,950180
2019-09-20,2019-09-20T11:05:00+0900,19650,19650,19650,19650,0,950180
2019-09-20,2019-09-20T11:06:00+0900,19650,19650,19650,19650,12,950180
2019-09-20,2019-09-20T11:07:00+0900,19650,19650,19650,19650,170,950180
2019-09-20,2019-09-20T11:08:00+0900,19650,19650,19650,19650,0,950180
2019-09-20,2019-09-20T11:09:00+0900,19650,19650,19650,19650,0,950180
2019-09-20,2019-09-20T11:10:00+0900,19750,19750,19750,19750,11,950180
2019-09-20,2019-09-20T11:11:00+0900,19750,19750,19750,19750,0,950180
2019-09-20,2019-09-20T11:12:00+0900,19750,19750,19650,19650,253,950180
2019-09-20,2019-09-20T11:13:00+0900,19650,19650,19550,19550,1002,950180
2019-09-20,2019-09-20T11:14:00+0900,19650,19650,19550,19550,0,950180
2019-09-20,2019-09-20T11:15:00+0900,19550,19550,19550,19550,39,950180
2019-09-20,2019-09-20T11:16:00+0900,19600,19600,19500,19500,1000,950180
2019-09-20,2019-09-20T11:17:00+0900,19550,19550,19500,19500,1001,950180
2019-09-20,2019-09-20T11:18:00+0900,19500,19500,19350,19350,2054,950180
2019-09-20,2019-09-20T11:19:00+0900,19500,19500,19350,19350,0,950180
2019-09-20,2019-09-20T11:20:00+0900,19500,19500,19350,19350,3001,950180
2019-09-20,2019-09-20T11:21:00+0900,19400,19400,19350,19400,88,950180
2019-09-20,2019-09-20T11:22:00+0900,19450,19500,19450,19500,7,950180
2019-09-20,2019-09-20T11:23:00+0900,19500,19550,19500,19550,717,950180
2019-09-20,2019-09-20T11:24:00+0900,19550,19550,19550,19550,200,950180
2019-09-20,2019-09-20T11:25:00+0900,19550,19600,19550,19600,12,950180
2019-09-20,2019-09-20T11:26:00+0900,19600,19600,19600,19600,15,950180
2019-09-20,2019-09-20T11:27:00+0900,19600,19650,19600,19650,224,950180
2019-09-20,2019-09-20T11:28:00+0900,19650,19650,19400,19550,2005,950180
2019-09-20,2019-09-20T11:29:00+0900,19550,19600,19550,19600,50,950180
2019-09-20,2019-09-20T11:30:00+0900,19600,19600,19600,19600,387,950180
2019-09-20,2019-09-20T11:31:00+0900,19650,19650,19650,19650,83,950180
2019-09-20,2019-09-20T11:32:00+0900,19700,19700,19700,19700,25,950180
2019-09-20,2019-09-20T11:33:00+0900,19700,19700,19700,19700,36,950180
2019-09-20,2019-09-20T11:34:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:35:00+0900,19700,19700,19700,19700,17,950180
2019-09-20,2019-09-20T11:36:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:37:00+0900,19700,19700,19700,19700,11,950180
2019-09-20,2019-09-20T11:38:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:39:00+0900,19700,19700,19700,19700,17,950180
2019-09-20,2019-09-20T11:40:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:41:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:42:00+0900,19700,19700,19700,19700,16,950180
2019-09-20,2019-09-20T11:43:00+0900,19700,19700,19700,19700,1,950180
2019-09-20,2019-09-20T11:44:00+0900,19700,19700,19700,19700,17,950180
2019-09-20,2019-09-20T11:45:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:46:00+0900,19700,19700,19700,19700,16,950180
2019-09-20,2019-09-20T11:47:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:48:00+0900,19700,19700,19700,19700,17,950180
2019-09-20,2019-09-20T11:49:00+0900,19700,19700,19700,19700,5,950180
2019-09-20,2019-09-20T11:50:00+0900,19700,19700,19600,19600,12,950180
2019-09-20,2019-09-20T11:51:00+0900,19650,19700,19650,19700,7,950180
2019-09-20,2019-09-20T11:52:00+0900,19700,19700,19700,19700,17,950180
2019-09-20,2019-09-20T11:53:00+0900,19700,19700,19650,19650,8,950180
2019-09-20,2019-09-20T11:54:00+0900,19700,19700,19650,19650,15,950180
2019-09-20,2019-09-20T11:55:00+0900,19650,19700,19650,19700,6,950180
2019-09-20,2019-09-20T11:56:00+0900,19600,19600,19600,19600,31,950180
2019-09-20,2019-09-20T11:57:00+0900,19600,19600,19600,19600,40,950180
2019-09-20,2019-09-20T11:58:00+0900,19550,19600,19550,19600,20,950180
