date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,9270,9600,9210,9450,23282,025870
2019-09-20,2019-09-20T09:02:00+0900,9450,9570,9330,9530,11554,025870
2019-09-20,2019-09-20T09:03:00+0900,9530,9560,9500,9530,10261,025870
2019-09-20,2019-09-20T09:04:00+0900,9530,9540,9430,9450,18510,025870
2019-09-20,2019-09-20T09:05:00+0900,9430,9430,9350,9360,9125,025870
2019-09-20,2019-09-20T09:06:00+0900,9370,9420,9360,9370,4013,025870
2019-09-20,2019-09-20T09:07:00+0900,9400,9490,9380,9490,5160,025870
2019-09-20,2019-09-20T09:08:00+0900,9490,9650,9450,9650,10438,025870
2019-09-20,2019-09-20T09:09:00+0900,9660,9760,9620,9760,6908,025870
2019-09-20,2019-09-20T09:10:00+0900,9760,9760,9600,9600,9505,025870
2019-09-20,2019-09-20T09:11:00+0900,9640,9710,9610,9710,5112,025870
2019-09-20,2019-09-20T09:12:00+0900,9710,9970,9650,9920,14698,025870
2019-09-20,2019-09-20T09:13:00+0900,9920,10150,9900,10100,22790,025870
2019-09-20,2019-09-20T09:14:00+0900,10100,10150,10000,10150,13958,025870
2019-09-20,2019-09-20T09:15:00+0900,10150,10150,10000,10050,12089,025870
2019-09-20,2019-09-20T09:16:00+0900,10000,10050,9950,9990,6068,025870
2019-09-20,2019-09-20T09:17:00+0900,9980,10000,9850,9970,9851,025870
2019-09-20,2019-09-20T09:18:00+0900,9970,10000,9910,9980,13131,025870
2019-09-20,2019-09-20T09:19:00+0900,9960,10050,9960,9970,1948,025870
2019-09-20,2019-09-20T09:20:00+0900,9970,9990,9950,9970,4354,025870
2019-09-20,2019-09-20T09:21:00+0900,9950,9950,9850,9900,7985,025870
2019-09-20,2019-09-20T09:22:00+0900,9870,9960,9790,9930,7427,025870
2019-09-20,2019-09-20T09:23:00+0900,9910,9910,9790,9790,2854,025870
2019-09-20,2019-09-20T09:24:00+0900,9880,9880,9790,9840,4437,025870
