date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,57600,57700,57500,57600,2357,138080
2019-09-20,2019-09-20T09:02:00+0900,57500,57500,57200,57300,1160,138080
2019-09-20,2019-09-20T09:03:00+0900,57200,57200,57100,57100,4126,138080
2019-09-20,2019-09-20T09:04:00+0900,57200,57800,57200,57800,3113,138080
2019-09-20,2019-09-20T09:05:00+0900,57700,57800,57200,57400,3033,138080
2019-09-20,2019-09-20T09:06:00+0900,57400,57600,57400,57600,433,138080
2019-09-20,2019-09-20T09:07:00+0900,57700,58300,57700,58100,7075,138080
2019-09-20,2019-09-20T09:08:00+0900,58200,58300,57900,58100,5426,138080
2019-09-20,2019-09-20T09:09:00+0900,58200,58200,57700,57700,9404,138080
2019-09-20,2019-09-20T09:10:00+0900,57700,58000,57700,57800,1017,138080
2019-09-20,2019-09-20T09:11:00+0900,57800,57800,57700,57700,2035,138080
2019-09-20,2019-09-20T09:12:00+0900,57700,57900,57600,57800,1570,138080
2019-09-20,2019-09-20T09:13:00+0900,57900,57900,57700,57800,1115,138080
2019-09-20,2019-09-20T09:14:00+0900,57900,58200,57900,58100,7568,138080
2019-09-20,2019-09-20T09:15:00+0900,58100,58100,58100,58100,1388,138080
2019-09-20,2019-09-20T09:16:00+0900,58000,58400,58000,58400,5478,138080
2019-09-20,2019-09-20T09:17:00+0900,58300,58900,58300,58800,15333,138080
2019-09-20,2019-09-20T09:18:00+0900,58700,59000,58700,58800,7999,138080
2019-09-20,2019-09-20T09:19:00+0900,58800,58800,58300,58500,4047,138080
2019-09-20,2019-09-20T09:20:00+0900,58600,58700,58400,58500,1389,138080
2019-09-20,2019-09-20T09:21:00+0900,58500,58600,58400,58600,2148,138080
2019-09-20,2019-09-20T09:22:00+0900,58600,58600,58500,58600,834,138080
2019-09-20,2019-09-20T09:23:00+0900,58500,58600,58300,58500,3857,138080
2019-09-20,2019-09-20T09:24:00+0900,58600,58800,58500,58800,5453,138080
2019-09-20,2019-09-20T09:25:00+0900,58800,59300,58800,59200,17434,138080
2019-09-20,2019-09-20T09:26:00+0900,59200,59200,58700,58700,13295,138080
2019-09-20,2019-09-20T09:27:00+0900,58800,58800,58600,58700,931,138080
2019-09-20,2019-09-20T09:28:00+0900,58800,58900,58700,58900,1357,138080
2019-09-20,2019-09-20T09:29:00+0900,58800,58900,58700,58800,3786,138080
2019-09-20,2019-09-20T09:30:00+0900,58900,58900,58800,58800,1825,138080
2019-09-20,2019-09-20T09:31:00+0900,58800,58800,58700,58800,1483,138080
2019-09-20,2019-09-20T09:32:00+0900,58800,58800,58600,58600,1645,138080
2019-09-20,2019-09-20T09:33:00+0900,58600,58700,58600,58600,789,138080
2019-09-20,2019-09-20T09:34:00+0900,58600,58700,58600,58600,501,138080
2019-09-20,2019-09-20T09:35:00+0900,58600,58600,58200,58200,4888,138080
2019-09-20,2019-09-20T09:36:00+0900,58200,58500,58100,58500,1408,138080
2019-09-20,2019-09-20T09:37:00+0900,58400,58400,58300,58400,1329,138080
2019-09-20,2019-09-20T09:38:00+0900,58500,58900,58400,58800,3930,138080
2019-09-20,2019-09-20T09:39:00+0900,58700,59000,58700,59000,5516,138080
2019-09-20,2019-09-20T09:40:00+0900,59000,59200,58900,59000,9861,138080
2019-09-20,2019-09-20T09:41:00+0900,59000,59100,59000,59100,3450,138080
2019-09-20,2019-09-20T09:42:00+0900,58900,58900,58600,58700,3812,138080
2019-09-20,2019-09-20T09:43:00+0900,58700,58900,58600,58900,812,138080
2019-09-20,2019-09-20T09:44:00+0900,58900,58900,58500,58500,1443,138080
2019-09-20,2019-09-20T09:45:00+0900,58500,58800,58500,58800,874,138080
2019-09-20,2019-09-20T09:46:00+0900,58700,58700,58500,58500,514,138080
2019-09-20,2019-09-20T09:47:00+0900,58500,58600,58500,58500,1303,138080
2019-09-20,2019-09-20T09:48:00+0900,58600,58600,58500,58600,395,138080
2019-09-20,2019-09-20T09:49:00+0900,58500,58500,58200,58200,3183,138080
2019-09-20,2019-09-20T09:50:00+0900,58200,58400,58200,58300,699,138080
2019-09-20,2019-09-20T09:51:00+0900,58300,58500,58300,58400,718,138080
2019-09-20,2019-09-20T09:52:00+0900,58500,58600,58400,58600,1215,138080
2019-09-20,2019-09-20T09:53:00+0900,58600,58700,58600,58700,1463,138080
2019-09-20,2019-09-20T09:54:00+0900,58600,58700,58600,58700,760,138080
2019-09-20,2019-09-20T09:55:00+0900,58700,58700,58600,58600,250,138080
2019-09-20,2019-09-20T09:56:00+0900,58600,58700,58500,58500,686,138080
2019-09-20,2019-09-20T09:57:00+0900,58400,58600,58400,58500,485,138080
2019-09-20,2019-09-20T09:58:00+0900,58600,58600,58500,58600,487,138080
2019-09-20,2019-09-20T09:59:00+0900,58600,58600,58500,58500,709,138080
2019-09-20,2019-09-20T10:00:00+0900,58600,58600,58400,58500,422,138080
2019-09-20,2019-09-20T10:01:00+0900,58500,58600,58500,58600,584,138080
2019-09-20,2019-09-20T10:02:00+0900,58600,58600,58600,58600,539,138080
2019-09-20,2019-09-20T10:03:00+0900,58700,58700,58600,58700,434,138080
2019-09-20,2019-09-20T10:04:00+0900,58700,58700,58500,58700,1275,138080
2019-09-20,2019-09-20T10:05:00+0900,58600,58700,58400,58400,870,138080
2019-09-20,2019-09-20T10:06:00+0900,58500,58500,58400,58400,473,138080
2019-09-20,2019-09-20T10:07:00+0900,58500,58500,58400,58400,536,138080
2019-09-20,2019-09-20T10:08:00+0900,58500,58600,58500,58600,332,138080
2019-09-20,2019-09-20T10:09:00+0900,58600,58600,58500,58500,903,138080
2019-09-20,2019-09-20T10:10:00+0900,58500,58600,58500,58600,407,138080
2019-09-20,2019-09-20T10:11:00+0900,58600,58600,58500,58500,505,138080
2019-09-20,2019-09-20T10:12:00+0900,58500,58500,58400,58500,782,138080
2019-09-20,2019-09-20T10:13:00+0900,58400,58500,58400,58500,881,138080
2019-09-20,2019-09-20T10:14:00+0900,58500,58500,58500,58500,420,138080
2019-09-20,2019-09-20T10:15:00+0900,58600,58600,58500,58600,68,138080
2019-09-20,2019-09-20T10:16:00+0900,58600,58600,58500,58600,145,138080
2019-09-20,2019-09-20T10:17:00+0900,58600,58600,58500,58500,2446,138080
2019-09-20,2019-09-20T10:18:00+0900,58500,58600,58400,58500,2893,138080
2019-09-20,2019-09-20T10:19:00+0900,58500,58600,58300,58500,1378,138080
2019-09-20,2019-09-20T10:20:00+0900,58500,58500,58300,58300,1702,138080
2019-09-20,2019-09-20T10:21:00+0900,58400,58400,58100,58100,3161,138080
2019-09-20,2019-09-20T10:22:00+0900,58200,58200,58100,58100,699,138080
2019-09-20,2019-09-20T10:23:00+0900,58100,58200,58000,58100,1697,138080
2019-09-20,2019-09-20T10:24:00+0900,58100,58100,57800,57800,3760,138080
2019-09-20,2019-09-20T10:25:00+0900,57900,57900,57800,57800,1030,138080
2019-09-20,2019-09-20T10:26:00+0900,57900,58000,57800,57900,1666,138080
2019-09-20,2019-09-20T10:27:00+0900,58000,58100,58000,58100,501,138080
2019-09-20,2019-09-20T10:28:00+0900,58100,58100,58000,58000,437,138080
2019-09-20,2019-09-20T10:29:00+0900,58000,58000,57900,58000,259,138080
2019-09-20,2019-09-20T10:30:00+0900,57900,58100,57900,57900,1225,138080
2019-09-20,2019-09-20T10:31:00+0900,57900,58000,57900,57900,426,138080
2019-09-20,2019-09-20T10:32:00+0900,57900,58000,57900,57900,500,138080
2019-09-20,2019-09-20T10:33:00+0900,57900,58000,57900,57900,978,138080
2019-09-20,2019-09-20T10:34:00+0900,57900,58000,57900,57900,415,138080
2019-09-20,2019-09-20T10:35:00+0900,57900,57900,57800,57900,1027,138080
2019-09-20,2019-09-20T10:36:00+0900,57800,58000,57800,57900,1384,138080
2019-09-20,2019-09-20T10:37:00+0900,58000,58000,57900,58000,551,138080
2019-09-20,2019-09-20T10:38:00+0900,58100,58100,58100,58100,289,138080
2019-09-20,2019-09-20T10:39:00+0900,58200,58200,58100,58100,305,138080
2019-09-20,2019-09-20T10:40:00+0900,58200,58200,58100,58200,120,138080
2019-09-20,2019-09-20T10:41:00+0900,58200,58200,58100,58200,537,138080
2019-09-20,2019-09-20T10:42:00+0900,58200,58200,58100,58200,624,138080
2019-09-20,2019-09-20T10:43:00+0900,58200,58300,58200,58300,56,138080
2019-09-20,2019-09-20T10:44:00+0900,58300,58300,58100,58100,761,138080
2019-09-20,2019-09-20T10:45:00+0900,58100,58100,58000,58000,520,138080
2019-09-20,2019-09-20T10:46:00+0900,58000,58100,58000,58100,147,138080
2019-09-20,2019-09-20T10:47:00+0900,58100,58200,58100,58100,120,138080
2019-09-20,2019-09-20T10:48:00+0900,58100,58100,58000,58100,320,138080
2019-09-20,2019-09-20T10:49:00+0900,58100,58100,58000,58100,82,138080
2019-09-20,2019-09-20T10:50:00+0900,58100,58100,58100,58100,239,138080
2019-09-20,2019-09-20T10:51:00+0900,58100,58200,58100,58200,176,138080
2019-09-20,2019-09-20T10:52:00+0900,58100,58100,58100,58100,30,138080
2019-09-20,2019-09-20T10:53:00+0900,58100,58100,58100,58100,47,138080
2019-09-20,2019-09-20T10:54:00+0900,58100,58200,58000,58200,1295,138080
2019-09-20,2019-09-20T10:55:00+0900,58000,58200,58000,58200,22,138080
2019-09-20,2019-09-20T10:56:00+0900,58100,58200,58100,58200,348,138080
2019-09-20,2019-09-20T10:57:00+0900,58200,58200,58100,58100,43,138080
2019-09-20,2019-09-20T10:58:00+0900,58100,58200,58000,58200,455,138080
2019-09-20,2019-09-20T10:59:00+0900,58100,58200,58100,58200,413,138080
2019-09-20,2019-09-20T11:00:00+0900,58100,58100,58100,58100,131,138080
2019-09-20,2019-09-20T11:01:00+0900,58000,58000,57900,57900,2848,138080
2019-09-20,2019-09-20T11:02:00+0900,58000,58000,57900,57900,562,138080
