date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,12850,12850,12800,12850,2647,106190
2019-09-20,2019-09-20T09:02:00+0900,12800,12900,12800,12850,434,106190
2019-09-20,2019-09-20T09:03:00+0900,12850,12900,12800,12800,1357,106190
2019-09-20,2019-09-20T09:04:00+0900,12800,12800,12800,12800,453,106190
2019-09-20,2019-09-20T09:05:00+0900,12800,12800,12750,12750,81,106190
2019-09-20,2019-09-20T09:06:00+0900,12800,12900,12800,12800,386,106190
2019-09-20,2019-09-20T09:07:00+0900,12850,12850,12750,12750,2408,106190
2019-09-20,2019-09-20T09:08:00+0900,12750,12750,12750,12750,2168,106190
2019-09-20,2019-09-20T09:09:00+0900,12750,12750,12750,12750,35,106190
2019-09-20,2019-09-20T09:10:00+0900,12750,12800,12750,12800,1560,106190
2019-09-20,2019-09-20T09:11:00+0900,12800,12800,12750,12750,108,106190
2019-09-20,2019-09-20T09:12:00+0900,12750,12750,12750,12750,508,106190
2019-09-20,2019-09-20T09:13:00+0900,12750,12750,12750,12750,4,106190
2019-09-20,2019-09-20T09:14:00+0900,12750,12750,12750,12750,5,106190
2019-09-20,2019-09-20T09:15:00+0900,12750,12750,12750,12750,4,106190
2019-09-20,2019-09-20T09:16:00+0900,12750,12800,12750,12750,473,106190
2019-09-20,2019-09-20T09:17:00+0900,12750,12750,12700,12750,1326,106190
2019-09-20,2019-09-20T09:18:00+0900,12750,12800,12700,12800,178,106190
2019-09-20,2019-09-20T09:19:00+0900,12700,12700,12700,12700,2,106190
2019-09-20,2019-09-20T09:20:00+0900,12700,12800,12700,12700,306,106190
2019-09-20,2019-09-20T09:21:00+0900,12700,12700,12700,12700,5,106190
2019-09-20,2019-09-20T09:22:00+0900,12750,12750,12700,12700,97,106190
2019-09-20,2019-09-20T09:23:00+0900,12700,12700,12700,12700,419,106190
2019-09-20,2019-09-20T09:24:00+0900,12700,12700,12650,12650,1063,106190
2019-09-20,2019-09-20T09:25:00+0900,12650,12750,12600,12600,2491,106190
2019-09-20,2019-09-20T09:26:00+0900,12650,12650,12650,12650,258,106190
2019-09-20,2019-09-20T09:27:00+0900,12650,12650,12600,12650,234,106190
2019-09-20,2019-09-20T09:28:00+0900,12700,12700,12650,12650,604,106190
2019-09-20,2019-09-20T09:29:00+0900,12650,12700,12650,12700,11,106190
2019-09-20,2019-09-20T09:30:00+0900,12700,12750,12700,12700,24,106190
2019-09-20,2019-09-20T09:31:00+0900,12700,12700,12700,12700,65,106190
2019-09-20,2019-09-20T09:32:00+0900,12700,12700,12650,12650,556,106190
2019-09-20,2019-09-20T09:33:00+0900,12650,12650,12650,12650,5,106190
2019-09-20,2019-09-20T09:34:00+0900,12650,12650,12650,12650,722,106190
2019-09-20,2019-09-20T09:35:00+0900,12600,12650,12600,12650,819,106190
2019-09-20,2019-09-20T09:36:00+0900,12650,12650,12650,12650,3,106190
2019-09-20,2019-09-20T09:37:00+0900,12650,12700,12650,12700,299,106190
2019-09-20,2019-09-20T09:38:00+0900,12700,12700,12700,12700,1,106190
2019-09-20,2019-09-20T09:39:00+0900,12700,12700,12700,12700,3,106190
2019-09-20,2019-09-20T09:40:00+0900,12700,12750,12650,12650,17,106190
2019-09-20,2019-09-20T09:41:00+0900,12750,12750,12700,12700,85,106190
2019-09-20,2019-09-20T09:42:00+0900,12800,12950,12800,12900,371,106190
2019-09-20,2019-09-20T09:43:00+0900,12900,12900,12900,12900,33,106190
2019-09-20,2019-09-20T09:44:00+0900,12900,12900,12850,12850,17,106190
2019-09-20,2019-09-20T09:45:00+0900,12850,12850,12850,12850,10,106190
2019-09-20,2019-09-20T09:46:00+0900,12850,12850,12850,12850,0,106190
2019-09-20,2019-09-20T09:47:00+0900,12850,12850,12850,12850,0,106190
2019-09-20,2019-09-20T09:48:00+0900,12850,12850,12700,12700,161,106190
2019-09-20,2019-09-20T09:49:00+0900,12850,12850,12700,12700,0,106190
2019-09-20,2019-09-20T09:50:00+0900,12750,12750,12700,12700,43,106190
2019-09-20,2019-09-20T09:51:00+0900,12750,12750,12700,12700,0,106190
2019-09-20,2019-09-20T09:52:00+0900,12700,12700,12700,12700,1180,106190
2019-09-20,2019-09-20T09:53:00+0900,12800,12800,12800,12800,1,106190
2019-09-20,2019-09-20T09:54:00+0900,12800,12800,12800,12800,0,106190
2019-09-20,2019-09-20T09:55:00+0900,12800,12800,12800,12800,0,106190
2019-09-20,2019-09-20T09:56:00+0900,12800,12800,12800,12800,0,106190
2019-09-20,2019-09-20T09:57:00+0900,12700,12700,12700,12700,370,106190
2019-09-20,2019-09-20T09:58:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T09:59:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:00:00+0900,12700,12700,12700,12700,5,106190
2019-09-20,2019-09-20T10:01:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:02:00+0900,12700,12700,12650,12650,1364,106190
2019-09-20,2019-09-20T10:03:00+0900,12650,12650,12650,12650,1180,106190
2019-09-20,2019-09-20T10:04:00+0900,12650,12650,12650,12650,10,106190
2019-09-20,2019-09-20T10:05:00+0900,12650,12650,12650,12650,5,106190
2019-09-20,2019-09-20T10:06:00+0900,12650,12650,12650,12650,103,106190
2019-09-20,2019-09-20T10:07:00+0900,12650,12650,12650,12650,0,106190
2019-09-20,2019-09-20T10:08:00+0900,12650,12650,12650,12650,100,106190
2019-09-20,2019-09-20T10:09:00+0900,12650,12650,12650,12650,0,106190
2019-09-20,2019-09-20T10:10:00+0900,12650,12650,12650,12650,0,106190
2019-09-20,2019-09-20T10:11:00+0900,12650,12650,12650,12650,250,106190
2019-09-20,2019-09-20T10:12:00+0900,12650,12650,12650,12650,5,106190
2019-09-20,2019-09-20T10:13:00+0900,12650,12650,12650,12650,345,106190
2019-09-20,2019-09-20T10:14:00+0900,12650,12650,12650,12650,137,106190
2019-09-20,2019-09-20T10:15:00+0900,12650,12650,12650,12650,2,106190
2019-09-20,2019-09-20T10:16:00+0900,12650,12700,12650,12700,1002,106190
2019-09-20,2019-09-20T10:17:00+0900,12650,12700,12650,12700,0,106190
2019-09-20,2019-09-20T10:18:00+0900,12700,12700,12700,12700,26,106190
2019-09-20,2019-09-20T10:19:00+0900,12750,12750,12750,12750,11,106190
2019-09-20,2019-09-20T10:20:00+0900,12750,12750,12750,12750,0,106190
2019-09-20,2019-09-20T10:21:00+0900,12750,12750,12750,12750,0,106190
2019-09-20,2019-09-20T10:22:00+0900,12650,12650,12650,12650,1,106190
2019-09-20,2019-09-20T10:23:00+0900,12650,12650,12600,12600,900,106190
2019-09-20,2019-09-20T10:24:00+0900,12650,12650,12600,12600,0,106190
2019-09-20,2019-09-20T10:25:00+0900,12600,12600,12600,12600,69,106190
2019-09-20,2019-09-20T10:26:00+0900,12600,12600,12600,12600,4001,106190
2019-09-20,2019-09-20T10:27:00+0900,12600,12600,12600,12600,0,106190
2019-09-20,2019-09-20T10:28:00+0900,12600,12600,12550,12600,1345,106190
2019-09-20,2019-09-20T10:29:00+0900,12650,12650,12600,12600,215,106190
2019-09-20,2019-09-20T10:30:00+0900,12600,12600,12600,12600,10,106190
2019-09-20,2019-09-20T10:31:00+0900,12600,12600,12600,12600,0,106190
2019-09-20,2019-09-20T10:32:00+0900,12650,12650,12650,12650,31,106190
2019-09-20,2019-09-20T10:33:00+0900,12650,12650,12650,12650,0,106190
2019-09-20,2019-09-20T10:34:00+0900,12650,12650,12650,12650,0,106190
2019-09-20,2019-09-20T10:35:00+0900,12650,12650,12650,12650,0,106190
2019-09-20,2019-09-20T10:36:00+0900,12650,12650,12650,12650,147,106190
2019-09-20,2019-09-20T10:37:00+0900,12650,12650,12650,12650,0,106190
2019-09-20,2019-09-20T10:38:00+0900,12700,12700,12700,12700,201,106190
2019-09-20,2019-09-20T10:39:00+0900,12700,12700,12700,12700,1,106190
2019-09-20,2019-09-20T10:40:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:41:00+0900,12700,12700,12700,12700,1,106190
2019-09-20,2019-09-20T10:42:00+0900,12700,12700,12700,12700,10,106190
2019-09-20,2019-09-20T10:43:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:44:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:45:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:46:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:47:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:48:00+0900,12700,12700,12700,12700,275,106190
2019-09-20,2019-09-20T10:49:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:50:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:51:00+0900,12700,12700,12700,12700,269,106190
2019-09-20,2019-09-20T10:52:00+0900,12700,12700,12700,12700,1,106190
2019-09-20,2019-09-20T10:53:00+0900,12700,12700,12700,12700,0,106190
2019-09-20,2019-09-20T10:54:00+0900,12750,12750,12700,12700,5,106190
2019-09-20,2019-09-20T10:55:00+0900,12700,12750,12700,12750,5,106190
2019-09-20,2019-09-20T10:56:00+0900,12700,12700,12700,12700,3,106190
2019-09-20,2019-09-20T10:57:00+0900,12750,12750,12750,12750,1,106190
2019-09-20,2019-09-20T10:58:00+0900,12700,12700,12700,12700,2,106190
