date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,2180,2180,2175,2175,11412,007460
2019-09-20,2019-09-20T09:02:00+0900,2175,2175,2165,2165,16569,007460
2019-09-20,2019-09-20T09:03:00+0900,2170,2180,2170,2170,11345,007460
2019-09-20,2019-09-20T09:04:00+0900,2180,2180,2180,2180,1,007460
2019-09-20,2019-09-20T09:05:00+0900,2180,2185,2180,2185,7049,007460
2019-09-20,2019-09-20T09:06:00+0900,2180,2185,2175,2180,2197,007460
2019-09-20,2019-09-20T09:07:00+0900,2180,2180,2175,2175,11740,007460
2019-09-20,2019-09-20T09:08:00+0900,2170,2175,2170,2175,1461,007460
2019-09-20,2019-09-20T09:09:00+0900,2170,2175,2170,2175,4512,007460
2019-09-20,2019-09-20T09:10:00+0900,2170,2175,2170,2175,7542,007460
2019-09-20,2019-09-20T09:11:00+0900,2170,2170,2170,2170,742,007460
2019-09-20,2019-09-20T09:12:00+0900,2170,2170,2165,2170,1265,007460
2019-09-20,2019-09-20T09:13:00+0900,2170,2170,2165,2170,691,007460
2019-09-20,2019-09-20T09:14:00+0900,2170,2170,2165,2170,1658,007460
2019-09-20,2019-09-20T09:15:00+0900,2165,2170,2165,2170,2869,007460
2019-09-20,2019-09-20T09:16:00+0900,2165,2165,2165,2165,458,007460
2019-09-20,2019-09-20T09:17:00+0900,2170,2170,2170,2170,1768,007460
2019-09-20,2019-09-20T09:18:00+0900,2165,2170,2160,2160,20785,007460
2019-09-20,2019-09-20T09:19:00+0900,2165,2165,2165,2165,153,007460
2019-09-20,2019-09-20T09:20:00+0900,2165,2165,2160,2165,6455,007460
2019-09-20,2019-09-20T09:21:00+0900,2165,2170,2165,2170,2631,007460
2019-09-20,2019-09-20T09:22:00+0900,2170,2170,2170,2170,103,007460
2019-09-20,2019-09-20T09:23:00+0900,2165,2170,2165,2165,3994,007460
2019-09-20,2019-09-20T09:24:00+0900,2160,2170,2160,2170,371,007460
2019-09-20,2019-09-20T09:25:00+0900,2160,2170,2160,2170,0,007460
2019-09-20,2019-09-20T09:26:00+0900,2170,2170,2165,2170,4129,007460
2019-09-20,2019-09-20T09:27:00+0900,2165,2170,2165,2170,371,007460
2019-09-20,2019-09-20T09:28:00+0900,2165,2170,2165,2170,5149,007460
2019-09-20,2019-09-20T09:29:00+0900,2170,2180,2170,2180,8324,007460
2019-09-20,2019-09-20T09:30:00+0900,2180,2190,2180,2185,12125,007460
2019-09-20,2019-09-20T09:31:00+0900,2185,2190,2185,2185,2686,007460
2019-09-20,2019-09-20T09:32:00+0900,2185,2190,2185,2190,3335,007460
2019-09-20,2019-09-20T09:33:00+0900,2190,2205,2190,2200,75322,007460
2019-09-20,2019-09-20T09:34:00+0900,2200,2205,2190,2190,16237,007460
2019-09-20,2019-09-20T09:35:00+0900,2195,2195,2190,2195,5828,007460
2019-09-20,2019-09-20T09:36:00+0900,2190,2195,2190,2195,4937,007460
2019-09-20,2019-09-20T09:37:00+0900,2200,2200,2195,2195,2389,007460
2019-09-20,2019-09-20T09:38:00+0900,2190,2190,2180,2180,18060,007460
2019-09-20,2019-09-20T09:39:00+0900,2180,2185,2175,2180,6355,007460
2019-09-20,2019-09-20T09:40:00+0900,2185,2185,2180,2180,2175,007460
2019-09-20,2019-09-20T09:41:00+0900,2185,2185,2180,2180,0,007460
2019-09-20,2019-09-20T09:42:00+0900,2185,2190,2180,2190,8368,007460
2019-09-20,2019-09-20T09:43:00+0900,2195,2195,2185,2190,3735,007460
2019-09-20,2019-09-20T09:44:00+0900,2190,2200,2190,2190,26681,007460
2019-09-20,2019-09-20T09:45:00+0900,2190,2200,2190,2200,5724,007460
2019-09-20,2019-09-20T09:46:00+0900,2195,2205,2195,2205,3283,007460
2019-09-20,2019-09-20T09:47:00+0900,2195,2200,2195,2195,3038,007460
2019-09-20,2019-09-20T09:48:00+0900,2195,2200,2190,2200,14797,007460
2019-09-20,2019-09-20T09:49:00+0900,2195,2200,2190,2190,356,007460
2019-09-20,2019-09-20T09:50:00+0900,2195,2195,2190,2195,1362,007460
2019-09-20,2019-09-20T09:51:00+0900,2190,2190,2190,2190,16,007460
2019-09-20,2019-09-20T09:52:00+0900,2195,2195,2190,2190,452,007460
2019-09-20,2019-09-20T09:53:00+0900,2190,2195,2190,2190,3054,007460
2019-09-20,2019-09-20T09:54:00+0900,2190,2195,2185,2185,2280,007460
2019-09-20,2019-09-20T09:55:00+0900,2190,2190,2185,2185,2141,007460
2019-09-20,2019-09-20T09:56:00+0900,2190,2190,2180,2180,16165,007460
