date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,9200,9210,9200,9200,1637,219420
2019-09-20,2019-09-20T09:02:00+0900,9200,9220,9200,9220,1138,219420
2019-09-20,2019-09-20T09:03:00+0900,9230,9240,9200,9240,2869,219420
2019-09-20,2019-09-20T09:04:00+0900,9230,9240,9230,9240,114,219420
2019-09-20,2019-09-20T09:05:00+0900,9240,9250,9190,9190,2271,219420
2019-09-20,2019-09-20T09:06:00+0900,9190,9220,9160,9180,5178,219420
2019-09-20,2019-09-20T09:07:00+0900,9180,9210,9170,9200,809,219420
2019-09-20,2019-09-20T09:08:00+0900,9200,9210,9180,9210,691,219420
2019-09-20,2019-09-20T09:09:00+0900,9210,9210,9170,9200,1390,219420
2019-09-20,2019-09-20T09:10:00+0900,9200,9270,9170,9270,7640,219420
2019-09-20,2019-09-20T09:11:00+0900,9270,9270,9230,9230,660,219420
2019-09-20,2019-09-20T09:12:00+0900,9230,9230,9210,9210,286,219420
2019-09-20,2019-09-20T09:13:00+0900,9230,9230,9200,9220,1070,219420
2019-09-20,2019-09-20T09:14:00+0900,9200,9220,9190,9190,1685,219420
2019-09-20,2019-09-20T09:15:00+0900,9220,9230,9190,9200,190,219420
2019-09-20,2019-09-20T09:16:00+0900,9200,9220,9200,9210,173,219420
2019-09-20,2019-09-20T09:17:00+0900,9210,9210,9210,9210,479,219420
2019-09-20,2019-09-20T09:18:00+0900,9210,9220,9210,9220,336,219420
2019-09-20,2019-09-20T09:19:00+0900,9230,9230,9190,9190,2086,219420
2019-09-20,2019-09-20T09:20:00+0900,9200,9200,9180,9180,218,219420
2019-09-20,2019-09-20T09:21:00+0900,9180,9200,9180,9190,531,219420
2019-09-20,2019-09-20T09:22:00+0900,9190,9220,9180,9200,179,219420
2019-09-20,2019-09-20T09:23:00+0900,9190,9200,9190,9200,91,219420
2019-09-20,2019-09-20T09:24:00+0900,9200,9200,9190,9190,298,219420
2019-09-20,2019-09-20T09:25:00+0900,9180,9190,9170,9190,2051,219420
2019-09-20,2019-09-20T09:26:00+0900,9190,9190,9190,9190,14,219420
2019-09-20,2019-09-20T09:27:00+0900,9190,9190,9170,9170,406,219420
2019-09-20,2019-09-20T09:28:00+0900,9180,9180,9160,9170,2165,219420
2019-09-20,2019-09-20T09:29:00+0900,9170,9180,9170,9180,224,219420
2019-09-20,2019-09-20T09:30:00+0900,9180,9180,9170,9170,570,219420
2019-09-20,2019-09-20T09:31:00+0900,9160,9170,9150,9150,1819,219420
2019-09-20,2019-09-20T09:32:00+0900,9160,9170,9160,9170,1693,219420
2019-09-20,2019-09-20T09:33:00+0900,9170,9180,9170,9180,125,219420
2019-09-20,2019-09-20T09:34:00+0900,9170,9170,9170,9170,499,219420
2019-09-20,2019-09-20T09:35:00+0900,9160,9170,9130,9130,4363,219420
2019-09-20,2019-09-20T09:36:00+0900,9170,9170,9130,9140,324,219420
2019-09-20,2019-09-20T09:37:00+0900,9140,9140,9130,9130,1042,219420
2019-09-20,2019-09-20T09:38:00+0900,9130,9130,9120,9120,930,219420
2019-09-20,2019-09-20T09:39:00+0900,9120,9140,9120,9140,439,219420
2019-09-20,2019-09-20T09:40:00+0900,9140,9140,9120,9130,79,219420
2019-09-20,2019-09-20T09:41:00+0900,9130,9140,9100,9110,4660,219420
2019-09-20,2019-09-20T09:42:00+0900,9110,9110,9070,9080,6655,219420
2019-09-20,2019-09-20T09:43:00+0900,9090,9130,9090,9120,6118,219420
2019-09-20,2019-09-20T09:44:00+0900,9120,9150,9110,9110,1780,219420
2019-09-20,2019-09-20T09:45:00+0900,9110,9140,9110,9140,6,219420
2019-09-20,2019-09-20T09:46:00+0900,9140,9140,9120,9120,110,219420
2019-09-20,2019-09-20T09:47:00+0900,9130,9140,9130,9140,703,219420
2019-09-20,2019-09-20T09:48:00+0900,9120,9120,9120,9120,12,219420
