date,datetime,open,high,low,close,volume,symbol
2019-09-20,2019-09-20T09:01:00+0900,16150,16150,16100,16150,1078,016580
2019-09-20,2019-09-20T09:02:00+0900,16150,16150,16150,16150,310,016580
2019-09-20,2019-09-20T09:03:00+0900,16100,16150,16050,16150,1353,016580
2019-09-20,2019-09-20T09:04:00+0900,16200,16250,16200,16250,1775,016580
2019-09-20,2019-09-20T09:05:00+0900,16250,16250,16200,16250,1120,016580
2019-09-20,2019-09-20T09:06:00+0900,16250,16400,16200,16400,2311,016580
2019-09-20,2019-09-20T09:07:00+0900,16400,16550,16400,16450,3714,016580
2019-09-20,2019-09-20T09:08:00+0900,16500,16500,16350,16400,1197,016580
2019-09-20,2019-09-20T09:09:00+0900,16400,16500,16400,16400,2735,016580
2019-09-20,2019-09-20T09:10:00+0900,16450,16450,16350,16350,2323,016580
2019-09-20,2019-09-20T09:11:00+0900,16400,16450,16350,16350,2135,016580
2019-09-20,2019-09-20T09:12:00+0900,16350,16400,16300,16400,1339,016580
2019-09-20,2019-09-20T09:13:00+0900,16400,16500,16350,16500,4659,016580
2019-09-20,2019-09-20T09:14:00+0900,16500,16550,16450,16500,3886,016580
2019-09-20,2019-09-20T09:15:00+0900,16550,16700,16500,16700,9838,016580
2019-09-20,2019-09-20T09:16:00+0900,16700,16900,16650,16700,7752,016580
2019-09-20,2019-09-20T09:17:00+0900,16700,16700,16400,16500,3266,016580
2019-09-20,2019-09-20T09:18:00+0900,16550,16550,16400,16400,2990,016580
2019-09-20,2019-09-20T09:19:00+0900,16400,16400,16400,16400,792,016580
2019-09-20,2019-09-20T09:20:00+0900,16400,16450,16400,16450,1157,016580
2019-09-20,2019-09-20T09:21:00+0900,16500,16500,16450,16500,658,016580
2019-09-20,2019-09-20T09:22:00+0900,16450,16500,16450,16450,1560,016580
2019-09-20,2019-09-20T09:23:00+0900,16450,16450,16400,16400,146,016580
2019-09-20,2019-09-20T09:24:00+0900,16450,16450,16300,16300,898,016580
2019-09-20,2019-09-20T09:25:00+0900,16350,16400,16350,16400,489,016580
2019-09-20,2019-09-20T09:26:00+0900,16400,16450,16400,16400,208,016580
2019-09-20,2019-09-20T09:27:00+0900,16450,16450,16450,16450,613,016580
2019-09-20,2019-09-20T09:28:00+0900,16450,16450,16350,16400,910,016580
2019-09-20,2019-09-20T09:29:00+0900,16400,16400,16300,16350,2091,016580
2019-09-20,2019-09-20T09:30:00+0900,16350,16350,16300,16300,652,016580
2019-09-20,2019-09-20T09:31:00+0900,16300,16300,16300,16300,475,016580
2019-09-20,2019-09-20T09:32:00+0900,16350,16350,16250,16250,413,016580
2019-09-20,2019-09-20T09:33:00+0900,16250,16300,16250,16300,954,016580
2019-09-20,2019-09-20T09:34:00+0900,16300,16300,16250,16300,877,016580
2019-09-20,2019-09-20T09:35:00+0900,16300,16300,16250,16250,181,016580
2019-09-20,2019-09-20T09:36:00+0900,16250,16250,16250,16250,212,016580
2019-09-20,2019-09-20T09:37:00+0900,16300,16300,16250,16250,514,016580
2019-09-20,2019-09-20T09:38:00+0900,16300,16300,16250,16250,146,016580
2019-09-20,2019-09-20T09:39:00+0900,16250,16300,16250,16300,356,016580
2019-09-20,2019-09-20T09:40:00+0900,16300,16300,16250,16250,167,016580
2019-09-20,2019-09-20T09:41:00+0900,16250,16250,16250,16250,139,016580
2019-09-20,2019-09-20T09:42:00+0900,16250,16300,16250,16300,695,016580
2019-09-20,2019-09-20T09:43:00+0900,16250,16250,16250,16250,269,016580
2019-09-20,2019-09-20T09:44:00+0900,16250,16250,16250,16250,1717,016580
2019-09-20,2019-09-20T09:45:00+0900,16250,16250,16200,16200,209,016580
2019-09-20,2019-09-20T09:46:00+0900,16200,16250,16200,16250,163,016580
2019-09-20,2019-09-20T09:47:00+0900,16200,16200,16200,16200,176,016580
2019-09-20,2019-09-20T09:48:00+0900,16250,16250,16200,16200,259,016580
2019-09-20,2019-09-20T09:49:00+0900,16200,16200,16200,16200,2097,016580
2019-09-20,2019-09-20T09:50:00+0900,16200,16200,16150,16150,932,016580
2019-09-20,2019-09-20T09:51:00+0900,16150,16200,16150,16150,635,016580
2019-09-20,2019-09-20T09:52:00+0900,16200,16200,16150,16150,177,016580
2019-09-20,2019-09-20T09:53:00+0900,16200,16200,16150,16200,360,016580
2019-09-20,2019-09-20T09:54:00+0900,16150,16150,16150,16150,94,016580
2019-09-20,2019-09-20T09:55:00+0900,16200,16200,16150,16150,581,016580
2019-09-20,2019-09-20T09:56:00+0900,16150,16150,16150,16150,132,016580
2019-09-20,2019-09-20T09:57:00+0900,16150,16200,16150,16150,76,016580
2019-09-20,2019-09-20T09:58:00+0900,16150,16150,16150,16150,149,016580
2019-09-20,2019-09-20T09:59:00+0900,16150,16150,16150,16150,118,016580
2019-09-20,2019-09-20T10:00:00+0900,16150,16150,16100,16100,2101,016580
2019-09-20,2019-09-20T10:01:00+0900,16100,16150,16100,16100,2238,016580
2019-09-20,2019-09-20T10:02:00+0900,16100,16100,16100,16100,1422,016580
2019-09-20,2019-09-20T10:03:00+0900,16100,16100,16050,16050,487,016580
2019-09-20,2019-09-20T10:04:00+0900,16050,16100,16050,16100,299,016580
2019-09-20,2019-09-20T10:05:00+0900,16050,16050,16050,16050,59,016580
2019-09-20,2019-09-20T10:06:00+0900,16050,16050,16000,16050,1310,016580
2019-09-20,2019-09-20T10:07:00+0900,16000,16000,16000,16000,240,016580
2019-09-20,2019-09-20T10:08:00+0900,16000,16050,16000,16000,261,016580
2019-09-20,2019-09-20T10:09:00+0900,16000,16000,16000,16000,64,016580
2019-09-20,2019-09-20T10:10:00+0900,16000,16000,16000,16000,60,016580
2019-09-20,2019-09-20T10:11:00+0900,16000,16000,15950,15950,2449,016580
2019-09-20,2019-09-20T10:12:00+0900,15950,16000,15950,15950,630,016580
2019-09-20,2019-09-20T10:13:00+0900,15950,15950,15950,15950,338,016580
2019-09-20,2019-09-20T10:14:00+0900,15950,16000,15950,15950,82,016580
2019-09-20,2019-09-20T10:15:00+0900,15950,16000,15950,16000,88,016580
2019-09-20,2019-09-20T10:16:00+0900,15950,15950,15900,15900,488,016580
2019-09-20,2019-09-20T10:17:00+0900,15900,15950,15900,15900,291,016580
2019-09-20,2019-09-20T10:18:00+0900,15900,15900,15900,15900,138,016580
2019-09-20,2019-09-20T10:19:00+0900,15900,15950,15900,15900,261,016580
2019-09-20,2019-09-20T10:20:00+0900,15900,15900,15900,15900,131,016580
2019-09-20,2019-09-20T10:21:00+0900,15950,15950,15850,15850,516,016580
2019-09-20,2019-09-20T10:22:00+0900,15850,15850,15800,15850,259,016580
2019-09-20,2019-09-20T10:23:00+0900,15850,15850,15800,15800,160,016580
2019-09-20,2019-09-20T10:24:00+0900,15800,15800,15800,15800,672,016580
2019-09-20,2019-09-20T10:25:00+0900,15800,15800,15800,15800,260,016580
2019-09-20,2019-09-20T10:26:00+0900,15850,15850,15800,15800,290,016580
2019-09-20,2019-09-20T10:27:00+0900,15800,15800,15800,15800,59,016580
2019-09-20,2019-09-20T10:28:00+0900,15850,15850,15800,15800,292,016580
2019-09-20,2019-09-20T10:29:00+0900,15800,15850,15800,15850,284,016580
2019-09-20,2019-09-20T10:30:00+0900,15800,15850,15800,15850,155,016580
2019-09-20,2019-09-20T10:31:00+0900,15850,15850,15800,15800,65,016580
2019-09-20,2019-09-20T10:32:00+0900,15800,15800,15800,15800,162,016580
2019-09-20,2019-09-20T10:33:00+0900,15800,15850,15800,15800,89,016580
2019-09-20,2019-09-20T10:34:00+0900,15800,15800,15800,15800,121,016580
2019-09-20,2019-09-20T10:35:00+0900,15800,15800,15800,15800,363,016580
2019-09-20,2019-09-20T10:36:00+0900,15800,15800,15800,15800,43,016580
2019-09-20,2019-09-20T10:37:00+0900,15800,15850,15800,15800,191,016580
2019-09-20,2019-09-20T10:38:00+0900,15800,15850,15800,15800,70,016580
2019-09-20,2019-09-20T10:39:00+0900,15850,15850,15800,15800,69,016580
2019-09-20,2019-09-20T10:40:00+0900,15800,15850,15800,15850,76,016580
2019-09-20,2019-09-20T10:41:00+0900,15800,15800,15800,15800,117,016580
2019-09-20,2019-09-20T10:42:00+0900,15800,15800,15800,15800,104,016580
2019-09-20,2019-09-20T10:43:00+0900,15800,15800,15800,15800,107,016580
2019-09-20,2019-09-20T10:44:00+0900,15800,15850,15800,15800,116,016580
2019-09-20,2019-09-20T10:45:00+0900,15800,15850,15800,15850,123,016580
2019-09-20,2019-09-20T10:46:00+0900,15800,15800,15800,15800,105,016580
2019-09-20,2019-09-20T10:47:00+0900,15800,15800,15800,15800,149,016580
2019-09-20,2019-09-20T10:48:00+0900,15850,15850,15800,15800,98,016580
2019-09-20,2019-09-20T10:49:00+0900,15800,15800,15800,15800,166,016580
2019-09-20,2019-09-20T10:50:00+0900,15800,15800,15800,15800,108,016580
2019-09-20,2019-09-20T10:51:00+0900,15800,15800,15800,15800,61,016580
2019-09-20,2019-09-20T10:52:00+0900,15850,15850,15800,15800,146,016580
2019-09-20,2019-09-20T10:53:00+0900,15800,15800,15800,15800,124,016580
2019-09-20,2019-09-20T10:54:00+0900,15800,15800,15800,15800,160,016580
2019-09-20,2019-09-20T10:55:00+0900,15800,15800,15800,15800,64,016580
2019-09-20,2019-09-20T10:56:00+0900,15800,15800,15800,15800,131,016580
2019-09-20,2019-09-20T10:57:00+0900,15800,15800,15800,15800,140,016580
2019-09-20,2019-09-20T10:58:00+0900,15800,15800,15800,15800,2,016580
2019-09-20,2019-09-20T10:59:00+0900,15800,15800,15800,15800,154,016580
2019-09-20,2019-09-20T11:00:00+0900,15800,15800,15800,15800,49,016580
2019-09-20,2019-09-20T11:01:00+0900,15800,15800,15800,15800,167,016580
2019-09-20,2019-09-20T11:02:00+0900,15800,15800,15800,15800,64,016580
2019-09-20,2019-09-20T11:03:00+0900,15800,15800,15800,15800,139,016580
2019-09-20,2019-09-20T11:04:00+0900,15800,15800,15750,15750,95,016580
2019-09-20,2019-09-20T11:05:00+0900,15800,15800,15750,15750,0,016580
2019-09-20,2019-09-20T11:06:00+0900,15750,15750,15750,15750,165,016580
2019-09-20,2019-09-20T11:07:00+0900,15750,15750,15750,15750,78,016580
2019-09-20,2019-09-20T11:08:00+0900,15750,15750,15750,15750,61,016580
2019-09-20,2019-09-20T11:09:00+0900,15750,15750,15750,15750,100,016580
2019-09-20,2019-09-20T11:10:00+0900,15750,15750,15750,15750,86,016580
2019-09-20,2019-09-20T11:11:00+0900,15750,15750,15750,15750,178,016580
2019-09-20,2019-09-20T11:12:00+0900,15750,15750,15750,15750,41,016580
2019-09-20,2019-09-20T11:13:00+0900,15750,15750,15750,15750,160,016580
2019-09-20,2019-09-20T11:14:00+0900,15800,15800,15750,15800,642,016580
2019-09-20,2019-09-20T11:15:00+0900,15750,15750,15750,15750,14,016580
2019-09-20,2019-09-20T11:16:00+0900,15750,15750,15750,15750,155,016580
2019-09-20,2019-09-20T11:17:00+0900,15800,15800,15800,15800,1,016580
2019-09-20,2019-09-20T11:18:00+0900,15750,15750,15750,15750,288,016580
2019-09-20,2019-09-20T11:19:00+0900,15750,15750,15750,15750,64,016580
2019-09-20,2019-09-20T11:20:00+0900,15750,15750,15750,15750,71,016580
2019-09-20,2019-09-20T11:21:00+0900,15750,15750,15750,15750,157,016580
2019-09-20,2019-09-20T11:22:00+0900,15800,15800,15750,15750,102,016580
2019-09-20,2019-09-20T11:23:00+0900,15800,15800,15750,15750,99,016580
2019-09-20,2019-09-20T11:24:00+0900,15750,15750,15750,15750,35,016580
2019-09-20,2019-09-20T11:25:00+0900,15750,15750,15750,15750,129,016580
2019-09-20,2019-09-20T11:26:00+0900,15750,15750,15750,15750,236,016580
2019-09-20,2019-09-20T11:27:00+0900,15750,15750,15750,15750,57,016580
2019-09-20,2019-09-20T11:28:00+0900,15750,15750,15750,15750,95,016580
2019-09-20,2019-09-20T11:29:00+0900,15750,15750,15750,15750,2,016580
2019-09-20,2019-09-20T11:30:00+0900,15750,15750,15700,15700,278,016580
2019-09-20,2019-09-20T11:31:00+0900,15750,15750,15700,15700,74,016580
2019-09-20,2019-09-20T11:32:00+0900,15750,15750,15750,15750,5,016580
2019-09-20,2019-09-20T11:33:00+0900,15700,15700,15700,15700,126,016580
2019-09-20,2019-09-20T11:34:00+0900,15700,15700,15700,15700,86,016580
2019-09-20,2019-09-20T11:35:00+0900,15700,15750,15700,15750,182,016580
2019-09-20,2019-09-20T11:36:00+0900,15700,15750,15700,15750,0,016580
2019-09-20,2019-09-20T11:37:00+0900,15700,15700,15700,15700,78,016580
2019-09-20,2019-09-20T11:38:00+0900,15700,15700,15700,15700,64,016580
2019-09-20,2019-09-20T11:39:00+0900,15750,15750,15700,15750,49,016580
2019-09-20,2019-09-20T11:40:00+0900,15700,15750,15700,15700,65,016580
2019-09-20,2019-09-20T11:41:00+0900,15700,15750,15700,15700,303,016580
2019-09-20,2019-09-20T11:42:00+0900,15700,15700,15700,15700,183,016580
2019-09-20,2019-09-20T11:43:00+0900,15700,15700,15700,15700,147,016580
