datetime,date,open,high,low,close,volume,symbol
2019-09-19 09:01:00+09:00,2019-09-19,9300,9440,9100,9380,136146,025870
2019-09-19 09:01:00+09:00,2019-09-19,1100,1100,1100,1100,774,004100
2019-09-19 09:01:00+09:00,2019-09-19,6030,6090,6030,6080,8810,011280
2019-09-19 09:01:00+09:00,2019-09-19,6030,6030,6030,6030,580,063170
2019-09-19 09:01:00+09:00,2019-09-19,2385,2395,2355,2390,61828,010820
2019-09-19 09:01:00+09:00,2019-09-19,7110,7150,7110,7130,8341,007390
2019-09-19 09:01:00+09:00,2019-09-19,1150,1155,1145,1155,2099,027040
2019-09-19 09:01:00+09:00,2019-09-19,11400,11500,11400,11450,6166,038160
2019-09-19 09:01:00+09:00,2019-09-19,8210,8210,8210,8210,54,003690
2019-09-19 09:01:00+09:00,2019-09-19,3000,3000,2980,2980,752,130500
2019-09-19 09:01:00+09:00,2019-09-19,1835,1835,1835,1835,102,074430
2019-09-19 09:01:00+09:00,2019-09-19,12800,12800,12800,12800,95,258610
2019-09-19 09:01:00+09:00,2019-09-19,4860,4910,4855,4910,3402,097230
2019-09-19 09:01:00+09:00,2019-09-19,4350,4350,4350,4350,115,085620
2019-09-19 09:01:00+09:00,2019-09-19,1600,1600,1600,1600,2559,001520
2019-09-19 09:01:00+09:00,2019-09-19,6230,6230,6210,6210,1989,024950
2019-09-19 09:01:00+09:00,2019-09-19,9280,9450,9280,9350,42200,121800
2019-09-19 09:01:00+09:00,2019-09-19,1390,1390,1375,1375,169,253590
2019-09-19 09:01:00+09:00,2019-09-19,22900,22900,22900,22900,30,009140
2019-09-19 09:01:00+09:00,2019-09-19,6600,6600,6600,6600,2,050960
2019-09-19 09:01:00+09:00,2019-09-19,5620,5620,5620,5620,210,078020
2019-09-19 09:01:00+09:00,2019-09-19,6720,6780,6720,6780,2750,171010
2019-09-19 09:01:00+09:00,2019-09-19,17500,17700,17500,17650,14373,102940
